part,name,description,category,product_line_id,release_date,original_condition_id
G7A53AA,HP tC 65W Delta 19V AC Power Supply,HP tC 65W Delta 19V AC Power Supply,Accessories>AC Adapters,Commercial,2014-11-05,Excess New
G7A53AAR,HP TC 65W 19V AC Rfrbd Power Supply,HP TC 65W Delta 19V AC Power Supply,Accessories>AC Adapters,Commercial,2015-07-08,Excess New
P6N26AA,HP Exec TSA 15.6 Top Load Case,HP Executive TSA 15.6 Top Load Case,"Accessories>Bags, Cases & Sleeves",Commercial,2016-10-26,Excess New
P6N22AA,HP Exec 15.6 Brown Backpack,HP Executive 15.6 inch Brown Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2016-12-09,Excess New
X3X86LA#ABM,HP 15.6 Odyssey Blk Rd Backpack,HP 15.6 Odyssey Blk Rd Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2017-01-12,Excess New
P6N23UT,HP Exec 17.3 Backpack,HP 17.3 Executive Black Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2017-01-30,Excess New
P6N22UT,HP Exec 15.6 Brown Backpack,HP Executive 15.6 inch Brown Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2017-01-30,Excess New
P6N26UT,HP Exec TSA 15.6 Top Load Case,HP Executive TSA 15.6 Top Load Case,"Accessories>Bags, Cases & Sleeves",Commercial,2017-05-05,Refurbished
K7T91AT,HP ElitePad 1000 G2 Retail Case,HP ElitePad 1000 G2 Mobile Retail Solution Retail Case,"Accessories>Bags, Cases & Sleeves",Commercial,2017-07-28,Refurbished
1KM15UT,HP Exec 15.6 Midnight Top Load,HP Executive 15.6 Midnight Top Load Case,"Accessories>Bags, Cases & Sleeves",Commercial,2017-08-11,Refurbished
T0G22AT,HP Retail Case 8,HP Retail Case 8 (Pro Tablet 608),"Accessories>Bags, Cases & Sleeves",Commercial,2017-08-11,Refurbished
1KM17UT,HP Exec 17.3 Midnight Backpack,HP Executive 17.3 Midnight Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2017-09-19,Refurbished
Z7T26AA,HP x2 612 G2 Rugged Case,HP x2 612 G2 Rugged Case,"Accessories>Bags, Cases & Sleeves",Commercial,2017-09-22,Refurbished
H1D24AA,HP Essential Backpack,HP Essential Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2012-12-14,Excess New
H0R90AA#ABM,HP 16 inch BLACK LTNA Rfrbd Backpack,HP NOTEBOOK 75 Select 16 inch BLACK LTNA Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2013-03-19,Excess New
H1D24UT,HP Essential Backpack,HP Essential Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2013-06-21,Excess New
H5M90UT,HP Business Backpack,HP Business Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2013-07-18,Excess New
H5M90AA,HP Business Backpack,HP Business Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2013-09-17,Excess New
H3J55AA#ABL,HP Butterfly Notebook CAN/EN Rfrbd Sleeve,HP Butterfly Notebook CAN/EN Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2015-02-04,Excess New
F6E77LA#ABM,HP Butterfly Notebook LTNA Rfrbd Sleeve,HP Butterfly Notebook LTNA Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2014-10-29,Refurbished
H4J93AA,HP Professional Backpack Case,HP Professional Backpack Case (up to 17.3 inch diagonal),"Accessories>Bags, Cases & Sleeves",Commercial,2013-10-30,Excess New
C5X18LA#ABM,HP DM1 Basic LTNA Rfrbd Sleeve,HP DM1 Basic LTNA Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2014-09-25,Excess New
H4J93UT,HP Professional Backpack Case,HP Professional Backpack Case (up to 17.3 inch diagonal),"Accessories>Bags, Cases & Sleeves",Commercial,2014-02-27,Excess New
QB757AA#ABB,HP Value EURO Rfrbd Backpack,HP Value EURO Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2014-05-09,Excess New
F4D37LA#ABM,HP Value LTNA Rfrbd Backpack,HP Value LTNA Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2014-05-09,Refurbished
BP849AAR,HP Business Nylon Rfrbd Backpack,HP Business Nylon Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2014-07-28,Refurbished
QD250LA#ABM,HP CSR Business LTNA Rfrbd Backpack,HP CSR Business LTNA Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2014-08-22,Excess New
J6N12LA#ABM,HP 15.6 Janus Rfrbd Backpack,HP 15.6 Janus Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2014-09-09,Refurbished
J6E99LA#ABM,HP Power LTNA Rfrbd backpack,HP Power LTNA backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2014-09-23,Refurbished
XX080LA#ABM,HP Ultra Mobile Blue Gray Rfrbd Backpack,HP Ultra Mobile Blue Gray LTNA Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2014-09-25,Excess New
E0W97LA#ABM,HP Slim LTNA Rfrbd Backpack,HP Slim LTNA Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2014-10-29,Excess New
G8A94LA#ABM,HP 15.6 Janus Backpack LTNA Rfrbd,HP 15.6 Janus Backpack LTNA Rfrbd,"Accessories>Bags, Cases & Sleeves",Commercial,2014-12-16,Refurbished
J2N42LA#ABM,HP Power Con Bateria Rfrbd Backpack,HP Power Con Bateria Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2014-12-16,Excess New
QB757AA#ABL,HP Value Rfrbd Backpack,HP Value Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2014-12-29,Excess New
A1C21LA#ABM,HP Value 16.1 Rfrbd Backpack,HP Value fits up to 16.1 inch Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2015-01-16,Refurbished
K6V78LA#ABM,Sport White 14 Rfrbd Backpack,Sport White 14 Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2015-01-16,Excess New
F4F28AA#ABL,HP Sports Backpack Black/Gray 15.6 Rfrbd,HP Sports Backpack Black/Gray 15.6 LTNA Rfrbd,"Accessories>Bags, Cases & Sleeves",Consumer,2015-02-20,Excess New
C5X17LA#ABM,HP Mini Basic Gray LTNA Rfrbd Sleeve,HP Mini Basic Gray LTNA Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2014-07-28,Refurbished
LQ060LA#ABM,HP Mini Black Rfrbd Sleeve for Mini Notebook,HP Mini Black Sleeve for 10.1 in Mini Notebook,"Accessories>Bags, Cases & Sleeves",Consumer,2014-09-30,Refurbished
K6V77LA#ABM,HP Sport Purple 14 Rfrbd Backpack,HP Sport Purple 14 Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2015-04-23,Excess New
C5X20LA#ABM,HP Notebook Basic Gray LTNA Rfrbd Sleeve,HP Notebook Basic Gray LTNA Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2014-07-28,Excess New
C5X19LA#ABM,HP Notebook Basic Red LTNA Rfrbd Sleeve,HP Notebook Basic Red LTNA Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2014-07-28,Excess New
J6X32AA#ABL,HP 15.6 Rolling LTNA Rfrbd Backpack,HP 15.6 Rolling LTNA Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2015-05-19,Excess New
K6A54LA#ABM,HP Sport White 14 Rfrbd Backpack,HP Sport White 14 Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2015-06-02,Refurbished
K6A53LA#ABM,Sport Purple 14 Rfrbd Backpack,Sport Purple 14 Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2015-06-25,Refurbished
J1A83LA#ABM,HP Gray School Backpack Rfrbd Kit,HP Gray lunchbox School Pen Backpack Kit,"Accessories>Bags, Cases & Sleeves",Consumer,2015-07-06,Excess New
A5Y73LA#ABM,Rolling Full Function Rfrbd Backpack,Rolling Full Function Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2015-08-06,Refurbished
F3W16AA,HP Slim Ultrabook Backpack,HP Slim Ultrabook Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2015-11-10,Excess New
F4F29AA#ABL,HP Sport g/blue Rfrbd Backpack,HP Outdoor Sport g/blue CAN/ENG Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2015-12-18,Refurbished
